artist|cleaned genre|original genre
JOHNNY "GUITAR" WATSON|rnb / soul|funk
BRUCE JOHNSTON|pop|pop
DRIVER|rock|heavy metal
JIGSAW|pop|pop
MERI WILSON|pop|70s
PETER McCANN|pop|pop
DEAN FRIEDMAN|all-time favourites|all-time favourites
CANDI STATON|rnb / soul|soul
BOB MARLEY AND THE WAILERS|reggae|reggae
GEILS|rock|classic rock
THE PHILADELPHIA INTERNATIONAL ALL STARS|rhythm and blues|rhythm and blues
CELI BEE AND THE BUZZY BUNCH|disco|disco
UFO|rock|hard rock
THE SOUL TRAIN GANG|disco|disco
DAVE MATTHEWS|rock|rock
BECKETT|rock|progressive rock
THE FOUR SEASONS|pop|oldies
SPECIAL DELIVERY|rnb / soul|soul
HODGES|acoustic|acoustic
LIZA MINNELLI|pop|female vocalists
JOHNNY DUNCAN|country / folk|country
LATIMORE|rnb / soul|soul
BOOTSY'S RUBBER BAND|rnb / soul|funk
BRUCE FOSTER|country / folk|folk
TIM MOORE|country / folk|folk
JOE TEX|rnb / soul|soul
STEVE SPERRY|wisconsin|wisconsin
WILDFIRE|nwobhm|nwobhm
MERRILEE RUSH|pop|female vocalists
THE UNDISPUTED TRUTH|rnb / soul|soul
BARBARA DICKSON|pop|female vocalists
Q|industrial|industrial
FRANK LUCAS|seen live|seen live
STALLION|rock|heavy metal
DUSTY SPRINGFIELD|rnb / soul|soul
EDDIE HOLMAN|rnb / soul|soul
HAROLD MELVIN AND THE BLUE NOTES|rnb / soul|soul
JESSE COLIN YOUNG|country / folk|folk
HENRY GROSS|country / folk|singer-songwriter
KRIS KRISTOFFERSON|country / folk|country
JOHN MILES|rock|classic rock
SILVER CONVENTION|disco|disco
MARTY ROBBINS|country / folk|country
JENNIFER|post-hardcore|post-hardcore
CARRIE|rock|heavy metal
THE UNIVERSAL ROBOT BAND|rnb / soul|funk
THE JIMMY CASTOR BUNCH|rnb / soul|funk
MARIE OSMOND|country / folk|country
THE DETROIT EMERALDS|rnb / soul|soul
BLUE|pop|pop
THE HOLLYWOOD STARS|pop|power pop
BREAD|rock|soft rock
WILLIAM BELL|rnb / soul|soul
GRAHAM PARKER AND THE RUMOUR|seen live|seen live
KALYAN|rnb / soul|funk
DAVID PARTON|pop|70s
KENNY RANKIN|jazz|jazz
JERRY BUTLER|rnb / soul|soul
THE RUBINOOS|pop|power pop
THE LOVERS|french|french
JAMES DARREN|jazz|jazz
B.W. STEVENSON|pop|oldies
HENRY MANCINI AND HIS ORCHESTRA|soundtrack|soundtrack
CURRENT|emo|emo
KLAATU|rock|progressive rock
THE HUES CORPORATION|disco|disco
THE FACTS OF LIFE|rnb / soul|soul
SILVETTI|disco|disco
VALERIE CARTER|rnb / soul|soul
BARBARA PENNINGTON|disco|disco
TONY ORLANDO AND DAWN|pop|70s
MESA|portuguese|portuguese
SHIRLEY BROWN|rnb / soul|soul
CHAMPAGNE|electronic|drum and bass
THE RITCHIE FAMILY|disco|disco
GATO BARBIERI|jazz|jazz
DEARDORFF AND JOSEPH|rock|soft rock
THE OZARK MOUNTAIN DAREDEVILS|rock|southern rock
LOLEATTA HOLLOWAY|disco|disco
BRAINSTORM|rock|power metal
CHARLENE DUNCAN|pop|pop
BOBBY GOLDSBORO|pop|oldies
GALLAGHER AND LYLE|country / folk|singer-songwriter
DR. BUZZARD'S ORIGINAL SAVANNAH BAND|disco|disco
DICKIE GOODMAN|comedy|comedy
RHYTHM HERITAGE|rnb / soul|funk
JOHNNY BRISTOL|rnb / soul|soul
THE RUNAWAYS|rock|hard rock
THE LOVE UNLIMITED ORCHESTRA|disco|disco
THE BAR KAYS|rnb / soul|funk
THE SONS OF CHAMPLIN|rock|psychedelic rock
DANNY WHITE|rnb / soul|funk
NORMAN CONNORS|jazz|jazz
THE MIRACLES|rnb / soul|soul
DAVID DUNDAS|pop|pop
HENHOUSE FIVE PLUS TOO|jazz|jazz
ARTHUR PRYSOCK|jazz|jazz
AUTOMATIC MAN|rock|progressive rock
BARRY DeVORZON|soundtrack|soundtrack
RICK DEES AND HIS CAST OF IDIOTS|pop|70s
ELVIN BISHOP|rock|blues
VAN McCOY|disco|disco
ROD HART|country / folk|country
DICKEY LEE|rock|rockabilly
BAY CITY ROLLERS|pop|70s
L.A. JETS|rock|classic rock
DAVID LAFLAMME|rock|rock
C.W. McCALL|country / folk|country
BOBBY PICKETT|pop|pop
THE WALTER MURPHY BAND|disco|disco
WALTER JACKSON|rnb / soul|soul
BUBBLE BEE UNLIMITED|disco|disco
J.J. CALE|rock|blues
JOHNNY GUITAR WATSON|rnb / soul|funk
THE STILLS-YOUNG BAND|rock|folk rock
CRACK THE SKY|rock|progressive rock
THE SUPREMES|rnb / soul|soul
THE ORIGINALS|rnb / soul|soul
HAMILTON|electronic|drum and bass
MAJOR HARRIS|rnb / soul|soul
BLAZE|rock|heavy metal
LARRY SANTOS|pop|pop
THE KEANE BROTHERS|treble|treble
THE GLITTER BAND|rock|glam rock
RICHIE HAVENS|country / folk|folk
THE HUDSON BROTHERS|pop|power pop
TERRY CASHMAN|humour|humour
LaBELLE|rnb / soul|soul
DEODATO|jazz|jazz
THE OSMONDS|pop|pop
BLOOD, SWEAT AND TEARS|rock|classic rock
JOHN VALENTI|rock|classic rock
RAY SAWYER|rock|rockabilly
AMERICAN FLYER|rock|country rock
RED SOVINE|country / folk|country
DENNY LAINE|rock|rock
WHIRLWIND|rock|rockabilly
D.C. LaRUE|disco|disco
EL CHICANO|latin|latin
JA-KKI|disco|disco
THE ROWANS|all|all
THIN LIZZY|rock|hard rock
SILVER|seen live|seen live
IMPACT|hardcore punk|hardcore punk
SUN|rnb / soul|funk
TAMMY WYNETTE|country / folk|country
MIAMI|rnb / soul|funk
OHIO PLAYERS|rnb / soul|funk
RONNIE DYSON|rnb / soul|soul
GARY TOMS|rnb / soul|soul
THE ATTITUDES|rock|rock
SHERBET|australian|australian
BARBI BENTON|female|female
LADY FLASH|rnb / soul|soul
JOHN HANDY|jazz|jazz
MICHAEL FRANKS|smooth jazz|smooth jazz
JOE SIMON|rnb / soul|soul
SONS OF CHAMPLIN|rock|psychedelic rock
BARRY MANN|pop|60s
SWEENEY TODD|musical|musical
MARK RADICE|rock|classic rock
KEITH CARRADINE|country / folk|country
ELLISON CHASE|rock|new wave
LEON|tech house|tech house
DERRINGER|alt-country|alt-country
SPIN|seen live|seen live
REAL THING|rnb / soul|soul
NEW RIDERS OF THE PURPLE SAGE|rock|country rock
SUPREMES|rnb / soul|soul
ANDREA TRUE CONNECTION|disco|disco
DISCO TEX & THE SEX-O-LETTES|disco|disco
OZO|techno|techno
BOBBIE GENTRY|country / folk|country
DAVID CROSBY & GRAHAM NASH|rock|folk rock
ROGER McGUINN|rock|folk rock
HAMILTON, JOE FRANK & DENNISON|pop|70s
PRATT & McCLAIN|rock|classic rock
DEADLY NIGHTSHADE|rock|black metal
EASY STREET|rock|hard rock
BROADWAY|post-hardcore|post-hardcore
SYLVERS|rnb / soul|soul
CATE BROTHERS|rock|classic rock
JOHN SEBASTIAN|country / folk|folk
CROWN HEIGHTS AFFAIR|disco|disco
REVELATION|rock|doom metal
BLACKBYRDS|rnb / soul|funk
LEE OSKAR|harmonica|harmonica
BOBBY BLAND & B.B. KING|rock|blues
THE STAIRSTEPS|rnb / soul|soul
CAMEL|rock|progressive rock
JAN AND DEAN|surf|surf
CYNDI GRECCO|pop|70s
T.G. SHEPARD|country / folk|country
BROTHERHOOD OF MAN|pop|pop
TRAMMPS|disco|disco
BILL COSBY|comedy|comedy
D.J. ROGERS|rnb / soul|funk
MICHEL POLNAREFF|french|french
DISCO TEX AND THE SEX-O-LETTES|disco|disco
LEE GARRETT|rnb / soul|soul
STEVE GIBBONS BAND|rock|rock
SALSOUL ORCHESTRA|disco|disco
B.T. EXPRESS|rnb / soul|funk
MARLENE SHAW|rnb / soul|soul
STARCASTLE|rock|progressive rock
DON HARRISON BAND|rock|southern rock
JOHNNY CASH|country / folk|country
NARVEL FELTS|rock|rockabilly
ECSTASY, PASSION & PAIN|disco|disco
THE PURE PRAIRIE LEAGUE|rock|country rock
FAITH|hardcore punk|hardcore punk
TOM SULLIVAN|sea shanties|sea shanties
GERARD|rock|progressive rock
JIMMY DEAN|country / folk|country
CHAMPS BOYS|disco|disco
ECSTASY, PASSION AND PAIN|disco|disco
BLOODSTONE|rnb / soul|soul
SAMMY DAVIS JR.|jazz|jazz
JOHNNY NASH|reggae|reggae
AL WILSON|rnb / soul|soul
TYMES|rnb / soul|soul
PENNY McLEAN|disco|disco
MARMALADE|pop|60s
YVONNE FAIR|rnb / soul|soul
RICHARD COCCIANTE|musical|musical
DONNY & MARIE OSMOND|pop|seventies pop
HAMILTON, JOE FRANK AND REYNOLDS|pop|70s
SUTHERLAND BROTHERS AND QUIVER|bfr|bfr
THE BROTHERHOOD OF MAN|pop|70s
AL DOWNING|rock|rockabilly
THE FATBACK BAND|rnb / soul|funk
EDDIE KENDRICKS|rnb / soul|soul
MIRACLES|rnb / soul|soul
BILLY PAUL|rnb / soul|soul
DANNY GERRARD|rock|folk rock
OLIVER SAIN|rnb / soul|funk
THE MASQUERADERS|rnb / soul|soul
THE CHOICE FOUR|rnb / soul|soul
ROGUE|electronic|dubstep
WAYLON|seen live|seen live
STYLISTICS|rnb / soul|soul
5TH DIMENSION|pop|60s
MIGHTY CLOUDS OF JOY|gospel|gospel
HAROLD MELVIN & THE BLUE NOTES|rnb / soul|soul
OSIBISA|rnb / soul|funk
BLUE MAGIC|rnb / soul|soul
JIM CROCE|country / folk|folk
LARRY GROCE|comedy|comedy
STAMPEDERS|rock|classic rock
CHARLIE ROSS|yu|yu
THE BAND|rock|classic rock
GAYLORD|rock|black metal
CAROL WILLIAMS|disco|disco
BOBBY BLAND|rock|blues
THE ATLANTA DISCO BAND|disco|disco
RANDY EDELMAN|soundtrack|soundtrack
McKENDREE SPRING|country / folk|folk
TONY ORLANDO & DAWN|pop|70s
STAPLE SINGERS|rnb / soul|soul
FRANKIE AVALON|pop|oldies
MICHAEL ZAGER'S MOON BAND|disco|disco
GRAHAM CENTRAL STATION|rnb / soul|funk
BAND OF THE BLACK WATCH|scottish|scottish
KIKI DEE|pop|pop
CREEDENCE CLEARWATER REVIVAL|rock|classic rock
BROWN SUGAR|punk|punk
TOM SCOTT|jazz|jazz
SOUTH SHORE COMMISSION|disco|disco
ANDRE GAGNON|piano|piano
MUSCLE SHOALS HORNS|rnb / soul|funk
BARCLAY JAMES HARVEST|rock|progressive rock
STEVE HARLEY AND COCKNEY REBEL|rock|glam rock
HIDDEN STRENGTH|rnb / soul|funk
THE ROAD APPLES|canadian|canadian
MICHAEL MURPHEY|classic|classic
GEORGE BAKER SELECTION|rock|classic rock
PILOT|rock|rock
JONATHAN CAIN|smooth jazz|smooth jazz
JIMMY JAMES AND THE VAGABONDS|northern soul|northern soul
THE IMPRESSIONS|rnb / soul|soul
PEOPLE'S CHOICE|rnb / soul|funk
C.C.|african|african
THE TYMES|rnb / soul|soul
PETE WINGFIELD|rnb / soul|soul
HAMILTON, JOE FRANK & REYNOLDS|pop|70s
RAMSEY LEWIS|jazz|jazz
MORRIS ALBERT|pop|70s
AMAZING RHYTHM ACES|country / folk|country
HOUSTON PERSON|jazz|jazz
JULIE|danish|danish
LEON RUSSELL|rock|classic rock
BILLY CRASH CRADDOCK|bilititas|bilititas
CONWAY TWITTY|country / folk|country
BIDDU ORCHESTRA|disco|disco
DRAMATICS|rnb / soul|soul
S.S.O.|rnb / soul|funk
IRON BUTTERFLY|rock|psychedelic rock
ROAD APPLES|canadian|canadian
DEBBIE TAYLOR|rnb / soul|soul
PRELUDE|country / folk|folk
SIMON & GARFUNKEL|country / folk|folk
BLACK OAK ARKANSAS|rock|southern rock
PURPLE REIGN|pop|female vocalists
COUNTRY JOE McDONALD|country / folk|folk
JUSTIN HAYWARD & JOHN LODGE|rock|classic rock
DAVID GEDDES|pop|70s
SOUL TRAIN GANG|electronic|house
ELEVENTH HOUR|rock|heavy metal
MFSB|rnb / soul|funk
NORMAN CONNORS with MICHAEL HENDERSON|jazz|jazz
RITCHIE FAMILY|disco|disco
PAUL McCARTNEY & WINGS|rock|classic rock
GERRI GRANGER|northern soul|northern soul
5000 VOLTS|disco|disco
HUDSON BROTHERS|pop|power pop
FIREFLY|disco|disco
GARY TOMS EMPIRE|rnb / soul|soul
JIM GILSTRAP|rnb / soul|soul
THE ELEVENTH HOUR|rock|metalcore
TINA CHARLES|disco|disco
WILLIE HUTCH|rnb / soul|soul
PEOPLES CHOICE|rnb / soul|funk
RON BANKS|rnb / soul|funk
JOAN BAEZ|country / folk|folk
ESTHER PHILLIPS|rnb / soul|soul
THE GEORGE BAKER SELECTION|rock|classic rock
BILLY SWAN|country / folk|country
JIMMY CASTOR BUNCH|rnb / soul|funk
THE GUESS WHO|rock|classic rock
IMPRESSIONS|rnb / soul|soul
STATLER BROTHERS|country / folk|country
CHI-LITES|rnb / soul|soul
FAITH|hardcore punk|hardcore punk
SHAWN PHILLIPS|country / folk|folk
JUSTIN HAYWOOD & JOHN LODGE|rock|classic rock
ARTHUR ALEXANDER|rnb / soul|soul
JESSI COLTER|country / folk|country
AUSTIN ROBERTS|virginia|virginia
THE DWIGHT TWILLEY BAND|pop|power pop
SLY STONE|rnb / soul|funk
TRAVIS WAMMACK|rock|southern rock
VICKI LAWRENCE|pop|pop
TOMPALL|country / folk|country
COTTON|pop|female vocalists
DAVID BELLAMY|artists with beards|artists with beards
LOGGINS & MESSINA|rock|classic rock
THE MYSTIC MOODS|rnb / soul|funk
PAUL ANKA with ODIA COATES|jazz|swing
PAUL SIMON & PHOEBE SNOW|country / folk|singer-songwriter
PETER SKELLERN|piano|piano
TIMI YURO|rnb / soul|soul
GRASS ROOTS|rock|classic rock
FOX|seen live|seen live
BANZAII|pop|70s
TYPICALLY TROPICAL|reggae|reggae
EVIE SANDS|country / folk|singer-songwriter
NITTY GRITTY DIRT BAND|country / folk|country
OSMONDS|pop|pop
BUDDY MILES|rnb / soul|funk
PHILLY DEVOTIONS|disco|disco
JOHNNY WAKELIN AND THE KINSHASA BAND|pop|70s
RUSTY WIER|rock|rock
RAY CHARLES|jazz|jazz
COTTON|pop|female vocalists
SEVEN SEAS|rock|power metal
CARAVAN|rock|progressive rock
RALPH CARTER|disco|disco
NEW BIRTH|rnb / soul|soul
SUNSHINE BAND|jazz|jazz
FANTASTIC FOUR|rnb / soul|funk
SMOKEY|rock|rock
JEFF PERRY|rnb / soul|soul
THREE DOG NIGHT|rock|classic rock
JACKSON FIVE|rnb / soul|soul
MINNIE RIPERTON|rnb / soul|soul
JOHN DAWSON READ|country / folk|singer-songwriter
MAGIC DISCO MACHINE|rnb / soul|funk
TONY CAMILLOS BAZUKA|rnb / soul|funk
MOMENTS|melodic hardcore|melodic hardcore
