this_week_position,last_week_position,track,artist,clean_artist,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,White Christmas,Bing Crosby & Ken Darby Singers / John Scott Trotter,Bing Crosby,jazz,19421003,9,1,15,19421226
2,4,There Are Such Things,Tommy Dorsey & His Orchestra / Frank Sinatra & Pied Pipers,Tommy Dorsey,jazz,19421107,9,1,23,19421226
3,3,Praise The Lord And Pass The Ammunition,Kay Kyser & His Orchestra / The Glee Club,Kay Kyser,jazz,19421010,4,2,13,19421226
4,6,I Had The Craziest Dream,Harry James & His Music Makers / Helen Forrest,Harry James,jazz,19421128,9,1,18,19421226
5,NEW,Dearly Beloved,Glenn Miller & His Orchestra / Skip Nelson,Glenn Miller,jazz,19421226,5,5,3,19421226
6,5,Mister Five By Five,Harry James & His Music Makers / Helen Forrest,Harry James,jazz,19421121,6,2,9,19421226
7,7,Juke Box Saturday Night,Glenn Miller & His Orchestra / Tex Beneke & Marion Hutton,Glenn Miller,jazz,19421205,9,7,7,19421226
8,2,When The Lights Go On Again (All Over The World),Vaughn Monroe & His Orchestra,Vaughn Monroe,jazz,19421114,5,2,13,19421226
9,NEW,Moonlight Becomes You,Glenn Miller & His Orchestra / Skip Nelson & The Modernaires,Glenn Miller,jazz,19421226,9,9,1,19421226
10,NEW,Mister Five By Five,Freddie Slack & His Orchestra / Ella Mae Morse,Freddie Slack,jazz,19421226,10,10,1,19421226
1,1,White Christmas,Bing Crosby & Ken Darby Singers / John Scott Trotter,Bing Crosby,jazz,19421003,9,1,15,19421219
2,4,When The Lights Go On Again (All Over The World),Vaughn Monroe & His Orchestra,Vaughn Monroe,jazz,19421114,5,2,13,19421219
3,3,Praise The Lord And Pass The Ammunition,Kay Kyser & His Orchestra / The Glee Club,Kay Kyser,jazz,19421010,4,2,13,19421219
4,9,There Are Such Things,Tommy Dorsey & His Orchestra / Frank Sinatra & Pied Pipers,Tommy Dorsey,jazz,19421107,9,1,23,19421219
5,2,Mister Five By Five,Harry James & His Music Makers / Helen Forrest,Harry James,jazz,19421121,6,2,9,19421219
6,5,I Had The Craziest Dream,Harry James & His Music Makers / Helen Forrest,Harry James,jazz,19421128,9,1,18,19421219
7,8,Juke Box Saturday Night,Glenn Miller & His Orchestra / Tex Beneke & Marion Hutton,Glenn Miller,jazz,19421205,9,7,7,19421219
8,7,Serenade In Blue,Glenn Miller & His Orchestra / Ray Eberle & The Modernaires,Glenn Miller,jazz,19420912,8,2,15,19421219
9,NEW,Der Fuehrer's Face,Spike Jones & His City Slickers / Carl Grayson,Spike Jones,pop,19421219,9,9,1,19421219
10,NEW,Dearly Beloved,Dinah Shore,Dinah Shore,jazz,19421219,10,10,1,19421219
1,1,White Christmas,Bing Crosby & Ken Darby Singers / John Scott Trotter,Bing Crosby,jazz,19421003,9,1,15,19421212
2,5,Mister Five By Five,Harry James & His Music Makers / Helen Forrest,Harry James,jazz,19421121,6,2,9,19421212
3,2,Praise The Lord And Pass The Ammunition,Kay Kyser & His Orchestra / The Glee Club,Kay Kyser,jazz,19421010,4,2,13,19421212
4,3,When The Lights Go On Again (All Over The World),Vaughn Monroe & His Orchestra,Vaughn Monroe,jazz,19421114,5,2,13,19421212
5,8,I Had The Craziest Dream,Harry James & His Music Makers / Helen Forrest,Harry James,jazz,19421128,9,1,18,19421212
6,NEW,Dearly Beloved,Glenn Miller & His Orchestra / Skip Nelson,Glenn Miller,jazz,19421212,6,6,1,19421212
7,4,Serenade In Blue,Glenn Miller & His Orchestra / Ray Eberle & The Modernaires,Glenn Miller,jazz,19420912,8,2,15,19421212
8,9,Juke Box Saturday Night,Glenn Miller & His Orchestra / Tex Beneke & Marion Hutton,Glenn Miller,jazz,19421205,9,7,7,19421212
9,7,There Are Such Things,Tommy Dorsey & His Orchestra / Frank Sinatra & Pied Pipers,Tommy Dorsey,jazz,19421107,9,1,23,19421212
10,NEW,Moonlight Becomes You,Glenn Miller & His Orchestra / Skip Nelson & The Modernaires,Glenn Miller,jazz,19421212,10,10,1,19421212
1,1,White Christmas,Bing Crosby & Ken Darby Singers / John Scott Trotter,Bing Crosby,jazz,19421003,9,1,15,19421205
2,2,Praise The Lord And Pass The Ammunition,Kay Kyser & His Orchestra / The Glee Club,Kay Kyser,jazz,19421010,4,2,13,19421205
3,7,When The Lights Go On Again (All Over The World),Vaughn Monroe & His Orchestra,Vaughn Monroe,jazz,19421114,5,2,13,19421205
4,3,Serenade In Blue,Glenn Miller & His Orchestra / Ray Eberle & The Modernaires,Glenn Miller,jazz,19420912,8,2,15,19421205
5,6,Mister Five By Five,Harry James & His Music Makers / Helen Forrest,Harry James,jazz,19421121,6,2,9,19421205
6,4,Der Fuehrer's Face,Spike Jones & His City Slickers / Carl Grayson,Spike Jones,pop,19421017,6,3,8,19421205
7,5,There Are Such Things,Tommy Dorsey & His Orchestra / Frank Sinatra & Pied Pipers,Tommy Dorsey,jazz,19421107,9,1,23,19421205
8,9,I Had The Craziest Dream,Harry James & His Music Makers / Helen Forrest,Harry James,jazz,19421128,9,1,18,19421205
9,NEW,Juke Box Saturday Night,Glenn Miller & His Orchestra / Tex Beneke & Marion Hutton,Glenn Miller,jazz,19421205,9,7,7,19421205
10,NEW,Mister Five By Five,Freddie Slack & His Orchestra / Ella Mae Morse,Freddie Slack,jazz,19421205,10,10,1,19421205
1,1,White Christmas,Bing Crosby & Ken Darby Singers / John Scott Trotter,Bing Crosby,jazz,19421003,9,1,15,19421128
2,2,Praise The Lord And Pass The Ammunition,Kay Kyser & His Orchestra / The Glee Club,Kay Kyser,jazz,19421010,4,2,13,19421128
